Year,Species.Group,Source,Species,Harvest,Landed Value,Wholesale Value
2017,Groundfish,Wild commercial,"Halibut, wild",3.81,64.48,70.45
2017,Groundfish,Wild commercial,"Lingcod, wild",1.27,8.78,10.92
2017,Groundfish,Wild commercial,"Other groundfish, wild",0.06,0.39,12.52
2017,Groundfish,Wild commercial,"Pacific Cod, wild",0.58,0.98,5.06
2017,Groundfish,Wild commercial,"Pollock, wild",3.38,1.5,4.55
2017,Groundfish,Wild commercial,"Rockfish, wild",16.82,24.1,32.85
2017,Groundfish,Wild commercial,"Sablefish, wild",1.88,29.33,33.24
2017,Groundfish,Wild commercial,"Skates, wild",0.44,0.57,0.74
2017,Groundfish,Wild commercial,"Soles, wild",3.09,4.39,8.56
2017,Herring,Wild commercial,"Herring food, bait & other, wild",7,1.15,20.52
2017,Herring,Wild commercial,"Herring spawn-on-kelp, wild",0.24,7.21,11.01
2017,Herring,Wild commercial,"Roe herring, wild",20.44,9.4,43.17
2017,Invertebrates,Farmed,"Geoducks & other clams, farmed",1.28,7.11,13.15
2017,Invertebrates,Farmed,"Mussels & other invertebrates, farmed",0.34,1.72,10.6
2017,Invertebrates,Farmed,"Oysters, farmed",8.23,14.62,28.41
2017,Invertebrates,Wild commercial,"Clams (excl. geoducks), wild",0.43,1.57,7.92
2017,Invertebrates,Wild commercial,"Crabs, wild",3.82,46.63,88.66
2017,Invertebrates,Wild commercial,"Geoducks, wild",1.44,50.4,49.34
2017,Invertebrates,Wild commercial,"Other invertebrates, wild",0.12,0.2,10.62
2017,Invertebrates,Wild commercial,"Prawns, wild",1.18,25.7,44.14
2017,Invertebrates,Wild commercial,"Sea cucumbers, wild",1.73,9.38,12.13
2017,Invertebrates,Wild commercial,"Sea urchins green, wild",0.21,1.08,2.11
2017,Invertebrates,Wild commercial,"Sea urchins red, wild",2.93,6.63,15.19
2017,Invertebrates,Wild commercial,"Shrimp, wild",0.33,2.04,5.79
2017,Other seafood,Farmed,"Other, farmed",1.65,17.81,40.7
2017,Other seafood,Wild commercial,"Other, wild",0.47,0.15,6.51
2017,Other seafood,Wild commercial,"Tuna, wild",1.83,16.51,53.45
2017,Salmon,Farmed,Atlantic,83.05,694.94,797.89
2017,Salmon,Farmed,Pacific,2.58,33.65,44.26
2017,Salmon,Wild commercial,Chinook,1.64,16.58,26.58
2017,Salmon,Wild commercial,Chum,7.4,22.61,44.52
2017,Salmon,Wild commercial,Coho,1.26,6.45,24.21
2017,Salmon,Wild commercial,"Other salmon products, wild",,,1.73
2017,Salmon,Wild commercial,Pink,3.69,3.45,13.01
2017,Salmon,Wild commercial,Sockeye,0.46,2.25,92.07
2016,Groundfish,Wild commercial,"Arrowtooth flounders, wild",11,3.2,14.7
2016,Groundfish,Wild commercial,"Dogfish, wild",0.2,0.1,0.5
2016,Groundfish,Wild commercial,"Hake, wild",78.3,18.3,70
2016,Groundfish,Wild commercial,"Halibut, wild",3.7,58.3,94.6
